year,country,artist,song,place_final,points_jury_final,points_tele_final,yt_views,predicted_log_yt,expected_views,resid
2025,Austria,JJ,Wasted Love,1.0,258.0,178.0,17227352.0,7.209121127510814,16185313.93462581,0.027097400072608302
2025,Denmark,Sissal,Hallucination,23.0,45.0,2.0,2173099.0,6.239626359808376,1736306.375037244,0.09745315214230299
2025,Estonia,Tommy Cash,Espresso macchiato,3.0,98.0,258.0,46628203.0,7.375083861106359,23718316.558137283,0.2935648174357981
2025,Finland,Erika Vikman,Ich komme,11.0,88.0,108.0,4275488.0,6.893797059001141,7830636.402966517,-0.26281136716229625
2025,France,Louane,Maman,7.0,180.0,50.0,2780387.0,6.828897688354843,6743691.402453841,-0.38479243910329597
2025,Germany,Abor & Tynna,Baller,15.0,77.0,74.0,13177663.0,6.880466312901004,7593925.162711306,0.2393720839884752
2025,Greece,Klavdia,Asteromáta,6.0,105.0,126.0,6653970.0,6.9634044586996975,9191882.385246923,-0.1403236202167628
2025,Iceland,Væb,Róa,25.0,0.0,33.0,8928393.0,6.556831431962512,3604387.143736056,0.39394186633965944
2025,Israel,Yuval Raphael,New Day Will Rise,2.0,60.0,297.0,4809872.0,7.4076684041879135,25566330.816362374,-0.7255348850767325
2025,Italy,Lucio Corsi,Volevo essere un duro,5.0,159.0,97.0,3693617.0,6.8595375667642,7236649.970809648,-0.2920857063611404
2025,Latvia,Tautumeitas,Bur man laimi,13.0,116.0,42.0,2424833.0,6.382912700527415,2414975.340676776,0.0017691332661584624
2025,Lithuania,Katarsis,Tavo akys,16.0,34.0,62.0,1309318.0,6.431921875436558,2703471.996963086,-0.31487673700443075
2025,Luxembourg,Laura Thorn,La poupée monte le son,22.0,23.0,24.0,5054738.0,6.572379197004764,3735761.972812924,0.13131945291175207
2025,Malta,Miriana Conte,Serving,17.0,83.0,8.0,2274381.0,6.562434291687335,3651188.8096087277,-0.2055710730517415
2025,Netherlands,Claude,C'est La Vie,12.0,133.0,42.0,1934402.0,6.593034620284354,3917731.0650700903,-0.3064878877454724
2025,Norway,Kyle Alessandro,Lighter,18.0,22.0,67.0,11108868.0,6.745973986907912,5571523.759771036,0.29969581943161305
2025,Poland,Justyna Steczkowska,Gaja,14.0,17.0,139.0,3022978.0,6.775388514101863,5961952.534285618,-0.2949535275305193
2025,Portugal,Napa,Deslocado,21.0,37.0,13.0,1733888.0,6.294042452960942,1968078.663054006,-0.05502141204273059
2025,San Marino,Gabry Ponte,Tutta l'Italia,26.0,9.0,18.0,2810180.0,6.48296362681733,3040630.3550795517,-0.034229488227877525
2025,Spain,Melody,Esa diva,24.0,27.0,10.0,12029234.0,6.920756497740648,8332138.833742355,0.15948147538765767
2025,Sweden,KAJ,Bara bada bastu,4.0,126.0,195.0,17015715.0,7.029507135245023,10703039.673354091,0.20134306761557053
2025,Switzerland,Zoë Më,Voyage,10.0,214.0,0.0,2005852.0,6.425470415779399,2663608.645072214,-0.12317152994371483
2025,Ukraine,Ziferblat,Bird of Pray,9.0,60.0,158.0,2638045.0,6.8117598566350805,6482758.699360816,-0.39047765712867655
2025,United Kingdom,Remember Monday,What The Hell Just Happened?,19.0,88.0,0.0,2034826.0,6.58953399703054,3886279.1896746554,-0.2810067188357257
