year,country,artist,song,place_final,points_jury_final,points_tele_final,yt_views,predicted_log_yt,expected_views,resid
2017,Romania,Ilinca feat. Alex Florea,Yodel It!,7.0,58.0,224.0,6831327.0,7.191932808312494,15557249.196602631,-0.35742773379651815
2017,Spain,Manel Navarro,Do It for Your Lover,26.0,0.0,5.0,4208091.0,6.597312761160208,3956514.495200398,0.026772361708509607
2017,Sweden,Robin Bengtsson,I Can't Go On,5.0,218.0,126.0,101590.0,6.526386038220375,3360361.7933357605,-1.5195350778961032
2017,Ukraine,O.Torvald,Time,24.0,12.0,24.0,1115154.0,6.012010378367099,1028040.8650009134,0.03532446814885315
2017,United Kingdom,Lucie Jones,Never Give Up on You,15.0,99.0,12.0,1791949.0,6.344275853501856,2209407.6504918854,-0.09095020829503664
2018,Albania,Eugent Bushpepa,Mall,11.0,126.0,58.0,1537494.0,5.96628023164753,925295.0346495331,0.2205331979888836
2018,Australia,Jessica Mauboy,We Got Love,20.0,90.0,9.0,9283679.0,6.309362624157744,2038743.663089738,0.6583574913681849
2018,Austria,Cesár Sampson,Nobody But You,3.0,271.0,71.0,3867016.0,6.570522413609886,3719824.1839797064,0.016853555385169194
2018,Bulgaria,Equinox,Bones,14.0,100.0,66.0,2805649.0,6.2252763897020245,1679872.767189425,0.22275694808865243
2018,Cyprus,Eleni Foureira,Fuego,2.0,183.0,253.0,51004706.0,7.242878294118488,17493563.835327834,0.4647319544410715
2018,Czechia,Mikolas Josef,Lie To Me,6.0,66.0,215.0,14362396.0,6.938036155057571,8670340.534224778,0.21919074186664567
2018,Denmark,Rasmussen,Higher Ground,9.0,38.0,188.0,1640584.0,6.653247072970567,4500358.103942819,-0.43824860124604115
2018,Estonia,Elina Nechayeva,La forza,8.0,143.0,102.0,3299265.0,6.573055331774779,3741582.5528694233,-0.054638131896124875
2018,Finland,Saara Aalto,Monsters,25.0,23.0,23.0,1488145.0,6.3007314215032455,1998625.4877141947,-0.128086171992412
2018,France,Madame Monsieur,Mercy,13.0,114.0,59.0,3671139.0,6.575774186110795,3765079.8061112193,-0.010973357643274007
2018,Germany,Michael Schulte,You Let Me Walk Alone,4.0,204.0,136.0,5337041.0,6.903709536823046,8011420.673880559,-0.1764089976871812
2018,Hungary,AWS,Viszlát nyár,21.0,28.0,65.0,2719581.0,6.5189793732940755,3303538.505921259,-0.08447737492348484
2018,Ireland,Ryan O'Shaughnessy,Together,16.0,74.0,62.0,1401376.0,6.383605713098092,2418832.042418888,-0.237051037614874
2018,Israel,Netta,Toy,1.0,212.0,317.0,55457354.0,7.289766265450558,19487954.88037388,0.45419287908063133
2018,Italy,Ermal Meta & Fabrizio Moro,Non mi avete fatto niente,5.0,59.0,249.0,5567698.0,7.109348447791017,12863182.986777812,-0.3636727773110948
2018,Lithuania,Ieva Zasimauskaitė,When We're Old,12.0,90.0,91.0,956854.0,6.304602810989957,2016521.2873717858,-0.3237571342701022
2018,Moldova,DoReDos,My Lucky Day,10.0,94.0,115.0,726228.0,6.49068248482028,3095155.585858581,-0.6296094955297349
2018,Netherlands,Waylon,Outlaw In 'Em,18.0,89.0,32.0,1380051.0,6.280737448473529,1908699.0110009033,-0.14084231235539946
2018,Norway,Alexander Rybak,That's How You Write a Song,15.0,60.0,84.0,5784787.0,6.567325981015705,3692546.5676355297,0.1949613915326216
2018,Portugal,Cláudia Pascoal,O jardim,26.0,21.0,18.0,2338621.0,6.048313078732135,1117668.6740752342,0.32064676644368184
2018,Serbia,Sanja Ilić & Balkanika,Nova deca,19.0,38.0,75.0,1306665.0,6.233699512429804,1712771.8336937812,-0.11753525407640542
2018,Slovenia,Lea Sirk,"Hvala, ne!",22.0,41.0,23.0,957156.0,6.110094299413373,1288529.3028108007,-0.1291115733211292
2018,Spain,Amaia & Alfred,Tu canción,23.0,43.0,18.0,6119834.0,6.699892462748309,5010631.481789119,0.08684717935448383
2018,Sweden,Benjamin Ingrosso,Dance You Off,7.0,253.0,21.0,1091212.0,6.198180041831669,1578265.4223949313,-0.16027090857981552
2018,Ukraine,Mélovin,Under The Ladder,17.0,11.0,119.0,3060687.0,6.392264088422475,2467539.3574150777,0.09355483048448843
2018,United Kingdom,SuRie,Storm,24.0,23.0,25.0,2856332.0,6.394785032866939,2481904.3079231163,0.061023652515943105
2019,Albania,Jonida Maliqi,Ktheju tokës,17.0,43.0,47.0,655021.0,5.926820983116931,844930.4916633703,-0.11056575940312996
2019,Australia,Kate Miller-Heidke,Zero Gravity,9.0,153.0,131.0,7046481.0,6.815389286686241,6537162.58950277,0.03258299855635993
2019,Azerbaijan,Chingiz,Truth,8.0,202.0,100.0,2506877.0,6.677565545689167,4759546.18794005,-0.27843251988082507
2019,Belarus,Zena,Like It,24.0,18.0,13.0,1879662.0,6.221243553236231,1664345.7572159788,0.052836208403998164
2019,Cyprus,Tamta,Replay,13.0,77.0,32.0,4718707.0,6.432932255072362,2709768.9062415315,0.2408907563384517
2019,Czechia,Lake Malawi,of a Friend,11.0,150.0,7.0,1300986.0,6.258301713269598,1812598.904883339,-0.14402909015571463
2019,Denmark,Leonora,Love is Forever,12.0,69.0,51.0,753500.0,6.207416865593691,1612192.385410721,-0.3303336089430404
2019,Estonia,Victor Crone,Storm,20.0,28.0,48.0,1751346.0,6.363888317340695,2311470.298750086,-0.12051636255004095
2019,France,Bilal Hassani,Roi,16.0,67.0,38.0,5498835.0,6.515856757804441,3279870.9615809084,0.22441393047816405
2019,Germany,S!sters,Sister,25.0,24.0,0.0,2497808.0,6.3691736658350555,2339772.680763256,0.028385386399530255
2019,Greece,Katerine Duska,Better Love,21.0,50.0,24.0,1781454.0,6.349846978139561,2237932.4734048345,-0.09907236548794085
2019,Iceland,Hatari,Hatrið mun sigra,10.0,46.0,186.0,6229122.0,6.910838730182123,8144018.099496668,-0.11641189338280444
2019,Israel,Kobi Marimi,Home,23.0,0.0,35.0,1296078.0,6.212553379891518,1631373.4118542008,-0.09992224104965697
2019,Italy,Mahmood,Soldi,2.0,219.0,253.0,32595102.0,7.230533990774781,17003330.278068528,0.28261835364323673
2019,Malta,Michela,Chameleon,14.0,87.0,20.0,4539412.0,6.387494204532885,2440586.4992810073,0.26950539684984687
2019,Netherlands,Duncan Laurence,Arcade,1.0,237.0,261.0,48669472.0,7.211410832495593,16270872.146867849,0.4758458022473935
2019,North Macedonia,Tamara Todevska,Proud,7.0,247.0,58.0,3898355.0,6.590881385197466,3898355.000000123,-1.3322676295501878e-14
2019,Norway,KEiiNO,Spirit In The Sky,6.0,40.0,291.0,16527670.0,7.34482470487959,22122016.141672693,-0.12661307196552762
2019,Russia,Sergey Lazarev,Scream,3.0,126.0,244.0,7864226.0,7.24699391389154,17660130.719894685,-0.3513379282507536
2019,San Marino,Serhat,Say Na,19.0,12.0,65.0,1998791.0,6.434323095582879,2718460.929532074,-0.13355571031520075
2019,Serbia,Nevena Božović,Kruna,18.0,35.0,54.0,487247.0,6.193035050323556,1559678.373700249,-0.5052858764948134
2019,Slovenia,Zala Kralj & Gašper Šantl,Sebi,15.0,46.0,59.0,2897563.0,6.279330834616734,1902527.0252964762,0.18270205272982842
2019,Spain,Miki,La venda,22.0,1.0,53.0,7611509.0,6.844942268843971,6997489.715594434,0.036528496390006104
2019,Sweden,John Lundvik,Too Late for Love,5.0,241.0,93.0,3565902.0,6.490336115003484,3092688.0410944493,0.06183328848978853
